Company,Niche Signal,Recommended Offer,Website,Email,Phone,Email Quality,Lead Score,Intent Score,Intent Tier,Score Reasons
Aesthetic Medical Clinic in Singapore,aesthetic clinic singapore,AI Receptionist Automation,https://slclinic.com.sg,contact@slclinic.com.sg,+6568770144,verified_scraped,7,95,A,high-intent-role;has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Beauty Clinics,aesthetic clinic singapore,AI Receptionist Automation,https://www.estheclinic.com.sg,tanjongpagar@estheclinic.com.sg,+6588094706,verified_scraped,7,95,A,high-intent-role;has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Singapore Aesthetic Centre,aesthetic clinic singapore,AI Receptionist Automation,https://sgac.com.sg,doctor@sgac.com.sg,+6568371000,verified_scraped,7,95,A,high-intent-role;has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Veterinary Clinic in Singapore,vet clinic singapore,AI Receptionist Automation,https://www.vetsforlife.com.sg,enquiries@vetsforlife.com.sg,68917585,verified_scraped,7,95,A,high-intent-role;has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Erufu Care,dental clinic singapore,AI Receptionist Automation,https://www.erufucare.com,careteam@erufucare.com,66666667,verified_scraped,4,85,A,high-intent-role;has-email;email-quality:verified_scraped;offer-fit
Sassy Mama Singapore: Lifestyle & Parenting in Singapore,aesthetic clinic singapore,AI Receptionist Automation,https://www.sassymamasg.com,sassy@sassymamasg.com,81164663,verified_scraped,5,85,A,high-intent-role;has-email;email-quality:verified_scraped;offer-fit
Enrichment Classes Singapore,enrichment centre singapore,AI Receptionist Automation,https://ilovelearning.com.sg,enquiry@ilovelearning.com.sg,97118963,verified_scraped,7,65,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Heguru Singapore Fees,enrichment centre singapore,AI Receptionist Automation,https://hegurucenter.com.sg,enquiry@hegurucenter.com.sg,+6565091961,verified_scraped,7,65,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Freight Forwarders Services Singapore,freight forwarding singapore,AI Customer Support + CRM Automation,https://www.transglobal.com.sg,sales@transglobal.com.sg,+6568468878,verified_scraped,7,63,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
AC Vision,interior design singapore,Lead Capture + Follow-up Automation,https://www.acvision.com.sg,admin@acvision.com.sg,+6598485080,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Hausmark Singapore,renovation contractor singapore,Lead Capture + Follow-up Automation,https://www.hausmark.com.sg,wecanhelp@hausmark.com.sg,+6583654938,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Interior Design Company in Singapore,interior design singapore,Lead Capture + Follow-up Automation,https://metinterior.com.sg,info@metinterior.com.sg,+6564446887,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Property Agency Singapore,property agency singapore,Lead Capture + Follow-up Automation,https://sherealestate.sg,properties@sherealestate.sg,+6590299327,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Singapore Interior Design & Home Renovation,renovation contractor singapore,Lead Capture + Follow-up Automation,https://weliving.sg,support@weliving.sg,,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
Urban Home Design: Award Winning Interior Design Firm,interior design singapore,Lead Capture + Follow-up Automation,https://urbanhomedesign.com.sg,info@urbanhomedesign.com.sg,+6587874321,verified_scraped,7,59,B,has-email;email-quality:verified_scraped;sg-domain-email;offer-fit
EduReach Tuition Centre Singapore,tuition centre singapore,AI Receptionist Automation,https://www.edureachsg.com,info@edureachsg.com,88515854,verified_scraped,5,55,B,has-email;email-quality:verified_scraped;offer-fit
Accounting Company in Singapore,accounting firm singapore,Back-office Automation + Workflow Ops,https://ag-singapore.com,johnwoo@ag-singapore.com,+6566358767,verified_scraped,5,51,B,has-email;email-quality:verified_scraped;offer-fit
Invensis: Global Business Process Outsourcing BPO Company,accounting firm singapore,Back-office Automation + Workflow Ops,https://www.invensis.net,sales@invensis.net,88205183,verified_scraped,4,51,B,has-email;email-quality:verified_scraped;offer-fit
Jump,accounting firm singapore,Back-office Automation + Workflow Ops,https://bbcincorp.com,service@bbcincorp.com,98893529,verified_scraped,4,51,B,has-email;email-quality:verified_scraped;offer-fit
